sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target,target_name
5.1,3.5,1.4,0.2,0,setosa
4.9,3.0,1.4,0.2,0,setosa
4.7,3.2,1.3,0.2,0,setosa
4.6,3.1,1.5,0.2,0,setosa
5.0,3.6,1.4,0.2,0,setosa
5.4,3.9,1.7,0.4,0,setosa
4.6,3.4,1.4,0.3,0,setosa
5.0,3.4,1.5,0.2,0,setosa
4.4,2.9,1.4,0.2,0,setosa
4.9,3.1,1.5,0.1,0,setosa
5.4,3.7,1.5,0.2,0,setosa
4.8,3.4,1.6,0.2,0,setosa
4.8,3.0,1.4,0.1,0,setosa
4.3,3.0,1.1,0.1,0,setosa
5.8,4.0,1.2,0.2,0,setosa
5.7,4.4,1.5,0.4,0,setosa
5.4,3.9,1.3,0.4,0,setosa
5.1,3.5,1.4,0.3,0,setosa
5.7,3.8,1.7,0.3,0,setosa
5.1,3.8,1.5,0.3,0,setosa
5.4,3.4,1.7,0.2,0,setosa
5.1,3.7,1.5,0.4,0,setosa
4.6,3.6,1.0,0.2,0,setosa
5.1,3.3,1.7,0.5,0,setosa
4.8,3.4,1.9,0.2,0,setosa
5.0,3.0,1.6,0.2,0,setosa
5.0,3.4,1.6,0.4,0,setosa
5.2,3.5,1.5,0.2,0,setosa
5.2,3.4,1.4,0.2,0,setosa
4.7,3.2,1.6,0.2,0,setosa
4.8,3.1,1.6,0.2,0,setosa
5.4,3.4,1.5,0.4,0,setosa
5.2,4.1,1.5,0.1,0,setosa
5.5,4.2,1.4,0.2,0,setosa
4.9,3.1,1.5,0.2,0,setosa
5.0,3.2,1.2,0.2,0,setosa
5.5,3.5,1.3,0.2,0,setosa
4.9,3.6,1.4,0.1,0,setosa
4.4,3.0,1.3,0.2,0,setosa
5.1,3.4,1.5,0.2,0,setosa
5.0,3.5,1.3,0.3,0,setosa
4.5,2.3,1.3,0.3,0,setosa
4.4,3.2,1.3,0.2,0,setosa
5.0,3.5,1.6,0.6,0,setosa
5.1,3.8,1.9,0.4,0,setosa
4.8,3.0,1.4,0.3,0,setosa
5.1,3.8,1.6,0.2,0,setosa
4.6,3.2,1.4,0.2,0,setosa
5.3,3.7,1.5,0.2,0,setosa
5.0,3.3,1.4,0.2,0,setosa
7.0,3.2,4.7,1.4,1,versicolor
6.4,3.2,4.5,1.5,1,versicolor
6.9,3.1,4.9,1.5,1,versicolor
5.5,2.3,4.0,1.3,1,versicolor
6.5,2.8,4.6,1.5,1,versicolor
5.7,2.8,4.5,1.3,1,versicolor
6.3,3.3,4.7,1.6,1,versicolor
4.9,2.4,3.3,1.0,1,versicolor
6.6,2.9,4.6,1.3,1,versicolor
5.2,2.7,3.9,1.4,1,versicolor
5.0,2.0,3.5,1.0,1,versicolor
5.9,3.0,4.2,1.5,1,versicolor
6.0,2.2,4.0,1.0,1,versicolor
6.1,2.9,4.7,1.4,1,versicolor
5.6,2.9,3.6,1.3,1,versicolor
6.7,3.1,4.4,1.4,1,versicolor
5.6,3.0,4.5,1.5,1,versicolor
5.8,2.7,4.1,1.0,1,versicolor
6.2,2.2,4.5,1.5,1,versicolor
5.6,2.5,3.9,1.1,1,versicolor
5.9,3.2,4.8,1.8,1,versicolor
6.1,2.8,4.0,1.3,1,versicolor
6.3,2.5,4.9,1.5,1,versicolor
6.1,2.8,4.7,1.2,1,versicolor
6.4,2.9,4.3,1.3,1,versicolor
6.6,3.0,4.4,1.4,1,versicolor
